"AGB";"yield";"LAI"
100;0;NA
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
100;0;0,369041537344148
113,959823768317;0;0,369041537344148
113,959823768317;0;0,41825056556101
113,959823768317;0;0,41825056556101
113,959823768317;0;0,41825056556101
113,959823768317;0;0,41825056556101
113,959823768317;0;0,41825056556101
113,959823768317;0;0,41825056556101
113,959823768317;0;0,41825056556101
113,959823768317;0;0,41825056556101
132,045299663085;0;0,41825056556101
132,045299663085;0;0,481190963797573
132,045299663085;0;0,481190963797573
133,465377333732;0;0,481190963797573
157,99335005757;0;0,486094613265802
220,632324753618;0;0,569918593672057
284,464429316302;0;0,776669436048275
284,464429316302;0;0,976965899656941
290,330821572104;0;0,976965899656941
327,091423565286;0;0,99486579778514
352,169380012783;0;1,10513957723963
369,681617716131;0;1,17852857623702
394,556737443654;0;1,22891088412372
443,235877961199;0;1,29927346648072
445,436471458422;0;1,43298291119949
450,44835385824;0;1,43890524533843
450,44835385824;0;1,45235459401508
450,44835385824;0;1,45235459401508
450,44835385824;0;1,45235459401508
450,44835385824;0;1,45235459401508
450,44835385824;0;1,45235459401508
522,605663645886;0;1,45235459401508
522,605663645886;0;1,64012842169174
686,175911876123;0;1,64012842169174
704,263654575468;0;2,02770585555445
837,06288252644;0;2,06753264447722
994,626033731402;0;2,34293975766656
994,626033731402;0;2,63392864569478
998,206006737914;0;2,63392864569478
1005,31603596269;0;2,64012335229042
1111,42251432214;0;2,65237390740904
1186,51332435664;0;2,82715254761531
1186,51332435664;0;2,94217721123595
1186,51332435664;0;2,94217721123595
1186,51332435664;0;2,94217721123595
1186,51332435664;0;2,94217721123595
1211,38321099918;0;2,94217721123595
1214,53497805882;0;2,97877500452137
1214,53497805882;0;2,98336128169981
1446,35006323372;0;2,98336128169981
1446,35006323372;0;3,29086616456571
1488,20090355383;0;3,29086616456571
1564,94709314725;0;3,34055650526027
1567,5111030596;0;3,42746658059819
1585,37123908996;0;3,43027904656974
1585,37123908996;0;3,44971061783029
1585,37123908996;0;3,44971061783029
1650,708361083;0;3,44971061783029
1809,1328897974;0;3,51847698120134
1820,09830045683;0;3,67102560440407
1820,09830045683;0;3,68088602603947
1820,09830045683;0;3,68088602603947
1820,09830045683;0;3,68088602603947
1820,09830045683;0;3,68088602603947
1820,09830045683;0;3,68088602603947
1968,11706414517;0;3,68088602603947
2072,00602013827;0;3,80586049332139
2087,82378272536;0;3,88514426993362
2089,86936075187;0;3,89664810703192
2136,3937972992;0;3,89812519952508
2136,3937972992;0;3,93107557034934
2262,42782459796;0;3,93107557034934
2288,30960860813;0;4,01441478471355
2291,1806907855;0;4,03051342247878
2291,1806907855;0;4,03227880164196
2291,1806907855;0;4,03227880164196
2291,1806907855;0;4,03227880164196
2383,56421984464;0;4,03227880164196
2385,40143131318;0;4,08697261984224
2385,40143131318;0;4,08801983573507
2467,03437360327;0;4,08801983573507
2516,76613404134;0;4,13303091333442
2569,36599194107;0;4,159045616589
2628,7627374509;0;4,18545730653686
2688,59481130018;0;4,21397584613029
2691,43531046008;0;4,24136553647592
2691,43531046008;0;4,24263353580933
2691,43531046008;0;4,24263353580933
2691,43531046008;0;4,24263353580933
2760,5647272678;0;4,24263353580933
2824,61806557041;0;4,27262102113193
2862,64571266255;0;4,2989646064291
2893,96137538882;0;4,31397764209313
2910,50570186481;0;4,32600247669574
2910,50570186481;0;4,33223471824097
2910,50570186481;0;4,33223471824097
2910,50570186481;0;4,33223471824097
2910,50570186481;0;4,33223471824097
2935,62712000466;0;4,33223471824097
